language,count
perl,21211
raku,12556
python,4789
c,1460
clojure,1367
rust,1252
lua,957
haskell,952
ruby,939
go,824
t,733
cpp,720
javascript,606
kotlin,543
bqn,515
postscript,502
java,433
postgresql,355
tcl,345
scala,340
modula-3,326
julia,325
apl,281
prolog,270
bash,239
node,224
awk,222
elixir,219
crystal,207
nim,199
pascal,173
plperl,125
r,122
uiua,113
plpgsql,112
pljava,112
basic,107
forth,100
d,100
typst,99
excel-vba,98
j,95
bc,91
erlang,74
scheme,67
ocaml,59
js,56
common-lisp,55
php,52
oberon,50
dart,48
k,45
befunge-93,41
swift,41
gleam,40
ada,37
fortran,33
fennel,32
sql,27
sed,25
elm,25
brainfuck,25
cxx,23
zig,23
lisp,22
cl,22
part1,22
test,21
fsharp,21
cobol,21
ring,20
csh,19
racket,19
data,18
m4,18
gnat,17
rexx,17
part2,16
kap,15
picolisp,15
mmix,14
powershell,13
nelua,12
tests,12
opt2-separaterunx,12
opt1-nofl,12
f#,11
csharp,11
hy,11
typescript,10
golang,10
sudoku-data,9
smalltalk,9
ploki,8
odin,8
c3,8
wasi,8
c++,7
cesil,7
commonlisp,6
sml,6
opt3-rewrite,6
perl-json,6
coconut,5
python3,5
emacs-lisp,5
v,5
groovy,4
nu,4
test-data,4
misc,4
factor,4
modula3,4
fish,3
retro,3
janet,3
gembase,3
webassembly,3
logo,3
chatgpt,3
cuda,3
octave,3
nuweb,3
roc,3
myrddin,2
miranda,2
haxe,2
extras,2
hare,2
vlang,2
html,2
graphviz,2
dc,2
210,2
lib,2
gp,2
wolfram,2
idris,2
nix,2
yabasic,2
ook,1
mumps,1
logo-design,1
chef,1
test_data,1
vba,1
blog,1
visual-basic,1
shell,1
bourne-shell,1
io,1
tinyapl,1
ksh,1
xslt,1
maxima,1
